Rang;Type de document;Nombre de prêts;Titre ;Auteur
551.0;Bande dessinée jeunesse >12 ans;708.0;Fairy Tail. 4;Mashima, Hiro
553.0;Bande dessinée jeunesse >12 ans;707.0;Tu dépasses !;Darasse
559.0;Nouveauté;703.0;La mort s'invite à Pemberley : roman;James, Phyllis Dorothy
567.0;Bande dessinée pour adulte;692.0;Fairy Tail. 19;Mashima, Hiro
574.0;Nouveauté;690.0;Mon plus vieil ennemi : une enquête de l'inspecteur Wexford : roman;Rendell, Ruth
575.0;Bande dessinée jeunesse;689.0;S.O.S Planète;Verron, Laurent
583.0;Livre jeunesse;686.0;Mambo !;Corbeyran
596.0;Bande dessinée jeunesse;681.0;Chat académie;Davis, Jim
602.0;Bande dessinée jeunesse;677.0;A table !;Davis, Jim
603.0;Bande dessinée jeunesse;676.0;Alerte en classe verte;Pommaux, Yvan
605.0;Livre jeunesse;673.0;Max a une amoureuse;Saint Mars, Dominique de
610.0;Livre jeunesse;670.0;Au travail !;Davis, Jim
612.0;Bande dessinée jeunesse;669.0;Parasite sur canapé;Laudec
627.0;Bande dessinée jeunesse >12 ans;660.0;Pour qui sonne le glas;Oda, Eiichiro
629.0;Livre jeunesse;660.0;Garfield. Garfield ne manque pas d'air;Davis, Jim
635.0;Bande dessinée jeunesse;656.0;On ne schtroumpfe pas le progrès;Peyo
639.0;Livre jeunesse;656.0;L'hiver de Barbapapa;Tison, Annette
641.0;Livre jeunesse;654.0;Ça sent les vacances !;Zidrou
642.0;Bande dessinée jeunesse >12 ans;654.0;Fairy Tail. 8;Mashima, Hiro
652.0;Bande dessinée pour adulte;651.0;Astérix le Gaulois;Goscinny, René
653.0;Bande dessinée jeunesse;650.0;Terrain minets;Laudec
656.0;Revue pour adulte;648.0;Enjeux les Echos : le mensuel de l'économie;
666.0;Bande dessinée jeunesse;644.0;Max part en classe verte;Saint Mars, Dominique de
669.0;Livre jeunesse;641.0;Les transports;Gravier, Delphine
673.0;Bande dessinée jeunesse >12 ans;640.0;Naruto. 3;Kishimoto, Masashi
680.0;Livre jeunesse;636.0;Loup;Douzou, Olivier
681.0;Bande dessinée jeunesse;635.0;Attaque à Ithaque;Pommaux, Yvan
684.0;Bande dessinée pour adulte;634.0;Aya de Yopougon. 4;Abouet, Marguerite
686.0;Bande dessinée jeunesse;632.0;Salade de schtroumpfs;Peyo
690.0;Bande dessinée jeunesse;631.0;Alerte à la plantaline;Pommaux, Yvan
703.0;Bande dessinée jeunesse;627.0;Astérix chez les Helvètes;Goscinny, René
707.0;Bande dessinée jeunesse >12 ans;625.0;Naruto. 4;Kishimoto, Masashi
